loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,target,credit_age_years
15000.0, 36 months,5.32,451.73,A,A1,6,MORTGAGE,156330.0,Verified,debt_consolidation,10.28,0.0,0.0,13.0,0.0,19377.0,17.3,27.0,0,27
27200.0, 60 months,26.06,815.35,G,G5,10,RENT,80000.0,Verified,other,4.06,0.0,1.0,4.0,0.0,11136.0,48.6,7.0,1,23
24150.0, 60 months,18.25,616.55,D,D3,10,RENT,70000.0,Not Verified,debt_consolidation,17.45,2.0,1.0,13.0,0.0,7603.0,11.4,26.0,0,32
8925.0, 36 months,16.29,315.06,D,D1,0,OWN,30000.0,Verified,debt_consolidation,34.48,0.0,0.0,11.0,0.0,9335.0,37.0,18.0,0,45
12000.0, 36 months,8.67,379.76,B,B1,2,RENT,110000.0,Source Verified,debt_consolidation,6.83,3.0,0.0,14.0,0.0,7472.0,34.2,28.0,0,22
1500.0, 36 months,10.39,48.68,B,B4,1,RENT,35000.0,Verified,debt_consolidation,13.17,0.0,1.0,4.0,0.0,19.0,0.2,5.0,1,30
23000.0, 60 months,24.85,673.06,E,E3,10,RENT,80000.0,Source Verified,debt_consolidation,13.73,0.0,0.0,12.0,0.0,14622.0,52.4,20.0,1,18
12000.0, 36 months,7.89,375.43,A,A5,10,OWN,48000.0,Source Verified,credit_card,10.85,0.0,1.0,5.0,2.0,4668.0,79.1,23.0,0,34
20000.0, 60 months,15.95,306.08,D,D4,10,RENT,109620.0,Verified,major_purchase,13.65,0.0,0.0,9.0,1.0,15798.0,84.5,38.0,0,31
25000.0, 36 months,14.31,858.21,C,C4,10,MORTGAGE,129000.0,Source Verified,debt_consolidation,19.91,2.0,0.0,10.0,0.0,40474.875,79.8,41.0,1,44
5475.0, 36 months,18.99,200.67,E,E1,4,RENT,17250.0,Verified,major_purchase,21.02,0.0,0.0,5.0,0.0,3752.0,76.6,21.0,0,28
28675.0, 60 months,12.69,647.91,C,C2,10,MORTGAGE,58000.0,Not Verified,debt_consolidation,14.36,0.0,0.0,11.0,0.0,26636.0,63.9,31.0,1,22
33600.0, 60 months,11.49,738.79,B,B5,10,MORTGAGE,100000.0,Source Verified,debt_consolidation,12.49,0.0,0.0,8.0,0.0,25691.0,42.1,21.0,1,29
9325.0, 36 months,9.67,299.45,B,B1,1,RENT,47500.0,Source Verified,other,23.19,0.0,0.0,15.0,0.0,1260.0,12.5,25.0,0,23
4425.0, 36 months,8.9,140.51,A,A5,0,RENT,60000.0,Source Verified,debt_consolidation,2.94,0.0,1.0,10.0,0.0,4397.0,62.8,13.0,0,21
28000.0, 60 months,15.99,680.76,C,C5,1,MORTGAGE,128500.0,Verified,credit_card,20.98,0.0,0.0,8.0,0.0,12181.0,88.9,12.0,0,19
2500.0, 36 months,14.31,85.83,C,C4,10,RENT,53000.0,Source Verified,other,20.63,0.0,0.0,10.0,0.0,15833.0,30.2,15.0,0,22
5000.0, 36 months,8.39,157.59,A,A5,1,OWN,33200.0,Not Verified,car,5.21,0.0,0.0,4.0,0.0,76.0,1.3,7.0,0,21
20000.0, 36 months,11.44,658.95,B,B4,4,RENT,60000.0,Not Verified,credit_card,17.14,0.0,1.0,7.0,0.0,17370.0,54.3,20.0,0,31
10000.0, 36 months,11.99,332.1,B,B5,9,RENT,85000.0,Source Verified,home_improvement,24.23,0.0,0.0,12.0,0.0,11132.0,37.0,15.0,1,18
25000.0, 60 months,10.07,532.04,B,B2,10,RENT,34000.0,Verified,major_purchase,0.95,0.0,1.0,12.0,0.0,1550.0,4.3,16.0,0,24
5000.0, 36 months,8.49,157.82,B,B1,6,RENT,156330.0,Not Verified,debt_consolidation,2.53,1.0,1.0,11.0,3.0,2342.0,21.7,22.0,1,45
12000.0, 60 months,15.61,289.34,C,C5,10,MORTGAGE,73500.0,Verified,debt_consolidation,22.19,1.0,0.0,11.0,0.0,14800.0,55.4,28.0,1,30
29325.0, 36 months,15.61,1025.35,D,D1,3,MORTGAGE,120000.0,Verified,credit_card,5.89,0.0,2.0,10.0,0.0,11685.0,53.8,14.0,0,19
30000.0, 60 months,16.99,745.42,D,D3,0,MORTGAGE,93100.0,Verified,house,8.73,0.0,4.0,12.0,0.0,30362.0,48.4,43.0,1,25
10000.0, 36 months,17.27,357.88,C,C5,10,MORTGAGE,71000.0,Not Verified,debt_consolidation,13.5,0.0,1.0,11.0,1.0,8730.0,77.3,16.0,0,27
6500.0, 36 months,24.99,258.41,E,E4,0,RENT,28000.0,Source Verified,moving,24.73,1.0,2.0,11.0,1.0,1221.0,8.4,11.0,0,17
10000.0, 36 months,9.99,322.63,B,B3,0,RENT,42000.0,Source Verified,debt_consolidation,11.51,10.0,0.0,10.0,0.0,9177.0,63.1,19.0,0,30
25200.0, 36 months,21.97,962.01,E,E4,0,OWN,133732.0,Source Verified,debt_consolidation,19.57,0.0,5.0,19.0,1.0,23342.0,61.0,28.0,0,49
10000.0, 36 months,13.35,338.63,C,C2,2,MORTGAGE,108000.0,Not Verified,debt_consolidation,28.06,1.0,1.0,15.0,0.0,16007.0,75.5,37.0,0,25
24000.0, 36 months,6.68,737.55,A,A3,3,MORTGAGE,84000.0,Source Verified,credit_card,14.76,2.0,0.0,12.0,0.0,23942.0,49.5,19.0,0,41
10000.0, 36 months,10.99,327.34,B,B4,4,RENT,28000.0,Verified,debt_consolidation,22.16,0.0,2.0,14.0,0.0,8345.0,32.7,20.0,0,20
19450.0, 60 months,19.53,510.24,D,D5,0,RENT,38902.0,Not Verified,debt_consolidation,27.3,0.0,0.0,5.0,0.0,15174.0,63.0,11.0,1,24
20000.0, 60 months,8.19,407.35,A,A5,4,MORTGAGE,112000.0,Source Verified,debt_consolidation,12.35,0.0,0.0,19.0,0.0,21447.0,35.6,44.0,1,31
8125.0, 36 months,13.98,277.62,C,C3,5,RENT,29000.0,Source Verified,debt_consolidation,20.61,0.0,1.0,14.0,0.0,2933.0,24.4,29.0,1,21
15000.0, 60 months,18.54,385.33,E,E1,0,MORTGAGE,44000.0,Verified,debt_consolidation,36.69,2.0,1.0,8.0,0.0,8529.0,62.7,33.0,1,30
20800.0, 60 months,20.99,562.6,E,E5,10,RENT,65000.0,Verified,other,30.97,0.0,1.0,19.0,0.0,23644.0,68.7,50.0,1,23
15600.0, 36 months,8.24,490.58,B,B1,0,RENT,92000.0,Not Verified,debt_consolidation,26.22,0.0,0.0,11.0,1.0,35401.0,61.8,25.0,0,33
12000.0, 36 months,11.39,395.09,B,B3,5,MORTGAGE,84000.0,Not Verified,debt_consolidation,8.04,0.0,0.0,19.0,3.0,8238.0,38.3,42.0,0,36
2000.0, 36 months,6.99,61.75,A,A2,0,OWN,106000.0,Source Verified,car,2.38,0.0,0.0,12.0,0.0,2746.0,12.3,30.0,0,34
2700.0, 36 months,19.52,99.69,E,E2,4,MORTGAGE,45000.0,Not Verified,debt_consolidation,19.47,0.0,1.0,10.0,0.0,8689.0,74.3,13.0,1,19
14000.0, 60 months,26.24,421.16,E,E5,2,RENT,98362.68,Source Verified,debt_consolidation,33.36,0.0,0.0,13.0,2.0,10089.0,97.0,29.0,1,24
18000.0, 60 months,15.05,428.7,C,C4,0,MORTGAGE,26000.0,Verified,credit_card,42.44,0.0,0.0,11.0,0.0,8270.0,34.2,23.0,1,22
25000.0, 60 months,10.99,543.44,B,B4,1,MORTGAGE,135000.0,Verified,home_improvement,12.5,0.0,1.0,21.0,0.0,7459.0,18.9,29.0,1,22
20000.0, 36 months,14.49,688.33,C,C4,8,RENT,65200.0,Verified,moving,3.59,0.0,0.0,5.0,0.0,10442.0,71.5,12.0,0,20
19200.0, 60 months,11.98,426.9,B,B5,10,OWN,62000.0,Not Verified,other,10.43,0.0,0.0,14.0,0.0,6258.0,17.3,27.0,0,19
35000.0, 60 months,12.61,789.39,C,C1,1,OWN,115000.0,Source Verified,debt_consolidation,4.94,1.0,2.0,19.0,0.0,17751.0,33.7,39.0,0,25
20000.0, 36 months,15.31,696.35,C,C2,10,MORTGAGE,75000.0,Not Verified,debt_consolidation,15.46,0.0,1.0,9.0,0.0,21217.0,88.6,39.0,1,27
12000.0, 36 months,7.26,371.96,A,A4,1,MORTGAGE,80000.0,Not Verified,debt_consolidation,10.82,0.0,0.0,8.0,0.0,12182.0,48.5,36.0,1,26
13150.0, 36 months,13.98,449.31,C,C3,6,MORTGAGE,33000.0,Source Verified,debt_consolidation,22.4,2.0,1.0,21.0,0.0,17171.0,58.8,50.0,0,35
5925.0, 36 months,16.99,211.22,D,D3,0,MORTGAGE,85000.0,Source Verified,debt_consolidation,10.29,0.0,0.0,6.0,0.0,2205.0,76.0,6.0,0,16
5400.0, 36 months,21.18,203.95,E,E3,5,MORTGAGE,60000.0,Verified,debt_consolidation,39.82,0.0,1.0,17.0,0.0,40474.875,89.0,42.0,1,32
8400.0, 36 months,15.99,295.28,C,C5,0,MORTGAGE,50000.0,Verified,debt_consolidation,9.05,0.0,0.0,9.0,0.0,5902.0,34.2,18.0,1,27
16000.0, 36 months,6.89,493.23,A,A3,1,RENT,70000.0,Not Verified,credit_card,16.82,0.0,1.0,9.0,0.0,9525.0,30.0,14.0,0,40
25000.0, 36 months,15.31,870.44,C,C5,3,MORTGAGE,109000.0,Source Verified,debt_consolidation,12.99,0.0,0.0,10.0,0.0,12453.0,54.6,15.0,0,38
30000.0, 60 months,20.0,794.82,D,D4,6,MORTGAGE,134000.0,Source Verified,home_improvement,16.6,1.0,1.0,16.0,0.0,16162.0,58.8,23.0,1,23
38000.0, 36 months,7.97,1252.91,A,A5,10,MORTGAGE,95638.0,Not Verified,home_improvement,18.82,0.0,1.0,14.0,0.0,8673.0,12.3,23.0,0,25
25000.0, 60 months,17.97,634.43,D,D4,0,RENT,55000.0,Not Verified,credit_card,26.64,0.0,0.0,15.0,0.0,10351.0,55.7,18.0,0,20
26675.0, 60 months,30.89,877.67,G,G3,10,RENT,58000.0,Verified,debt_consolidation,31.6,0.0,0.0,16.0,0.0,24005.0,72.3,26.0,1,24
13000.0, 60 months,15.8,314.76,C,C3,7,MORTGAGE,72000.0,Verified,credit_card,10.08,0.0,2.0,18.0,0.0,12182.0,47.2,26.0,0,23
12000.0, 60 months,7.89,242.69,A,A5,10,MORTGAGE,90000.0,Source Verified,credit_card,4.24,0.0,0.0,16.0,0.0,3416.0,8.3,28.0,1,21
19200.0, 36 months,11.49,633.05,B,B5,10,MORTGAGE,80000.0,Verified,debt_consolidation,31.22,0.0,0.0,17.0,0.0,8207.0,51.0,30.0,0,21
24000.0, 60 months,9.99,309.61,B,B4,10,MORTGAGE,97000.0,Verified,debt_consolidation,8.08,0.0,0.0,9.0,0.0,13559.0,43.8,28.0,0,31
19075.0, 36 months,13.11,643.73,B,B4,2,OWN,42500.0,Verified,debt_consolidation,12.48,0.0,2.0,28.0,0.0,30131.0,48.3,61.0,0,30
28375.0, 36 months,30.99,1220.01,G,G5,7,OWN,78000.0,Verified,debt_consolidation,18.65,0.0,0.0,14.0,0.0,9311.0,66.5,26.0,1,23
22000.0, 36 months,8.9,698.58,A,A5,10,MORTGAGE,65515.44,Verified,debt_consolidation,17.31,1.0,0.0,12.0,0.0,31061.0,80.1,41.0,0,24
19200.0, 36 months,12.69,644.07,C,C2,0,MORTGAGE,75000.0,Source Verified,debt_consolidation,22.54,0.0,1.0,14.0,0.0,19552.0,56.0,17.0,1,22
8000.0, 36 months,10.78,261.08,B,B4,10,RENT,94000.0,Source Verified,debt_consolidation,16.22,0.0,1.0,18.0,1.0,10342.0,25.2,40.0,0,43
25000.0, 36 months,13.22,845.02,C,C2,1,RENT,52000.0,Verified,home_improvement,9.0,0.0,0.0,5.0,0.0,2951.0,20.6,9.0,0,21
15000.0, 60 months,30.75,492.24,F,F5,10,MORTGAGE,100000.0,Source Verified,credit_card,7.93,2.0,3.0,6.0,0.0,13876.0,64.2,19.0,0,27
7500.0, 36 months,14.65,258.71,C,C5,8,OWN,22000.0,Source Verified,debt_consolidation,36.93,0.0,2.0,16.0,0.0,7042.0,33.7,32.0,0,25
28625.0, 60 months,19.69,473.14,E,E5,4,MORTGAGE,120000.0,Verified,small_business,16.6,1.0,0.0,8.0,0.0,40474.875,69.7,36.0,0,28
10000.0, 36 months,15.61,349.65,D,D1,10,RENT,40000.0,Source Verified,other,31.32,0.0,3.0,15.0,0.0,6876.0,29.0,25.0,1,21
13200.0, 36 months,11.53,435.48,B,B5,2,MORTGAGE,65000.0,Verified,credit_card,18.08,1.0,0.0,15.0,0.0,16866.0,93.2,31.0,0,26
19600.0, 36 months,22.74,756.06,E,E1,0,RENT,64000.0,Verified,debt_consolidation,21.0,1.0,1.0,56.0,0.0,13925.0,36.6,71.0,1,22
19000.0, 36 months,7.62,592.07,A,A3,0,OWN,78000.0,Source Verified,debt_consolidation,19.35,0.0,1.0,14.0,0.0,14984.0,40.6,20.0,0,37
12000.0, 60 months,6.0,240.47,D,D1,5,MORTGAGE,72000.0,Source Verified,other,13.2,3.0,0.0,11.0,0.0,7473.0,63.3,27.0,0,23
14000.0, 36 months,7.66,436.52,A,A5,1,MORTGAGE,156330.0,Source Verified,major_purchase,10.68,0.0,3.0,14.0,0.0,13850.0,36.2,27.0,0,24
29700.0, 60 months,17.27,742.45,D,D2,9,RENT,66000.0,Verified,credit_card,24.98,0.0,0.0,15.0,0.0,13885.0,44.0,19.0,1,13
25000.0, 60 months,25.8,745.56,G,G1,10,MORTGAGE,150000.0,Source Verified,debt_consolidation,22.56,1.0,2.0,20.0,1.0,5523.0,40.6,67.0,1,25
18000.0, 36 months,15.99,632.74,C,C5,10,RENT,75000.0,Source Verified,credit_card,1.92,0.0,1.0,5.0,0.0,4953.0,23.8,7.0,0,22
9175.0, 36 months,13.67,312.12,C,C4,10,RENT,65000.0,Source Verified,debt_consolidation,23.91,2.0,1.0,6.0,0.0,1710.0,52.0,15.0,1,46
20000.0, 36 months,10.99,654.68,B,B4,10,RENT,87630.0,Source Verified,debt_consolidation,23.88,0.0,1.0,15.0,0.0,26344.0,76.4,35.0,0,32
2000.0, 36 months,13.99,68.35,C,C3,0,RENT,38000.0,Verified,vacation,26.37,0.0,0.0,11.0,1.0,11083.0,71.5,26.0,1,32
7300.0, 36 months,11.14,239.48,B,B2,5,MORTGAGE,34500.0,Verified,debt_consolidation,23.41,0.0,3.0,6.0,0.0,10297.0,80.4,24.0,0,25
8900.0, 36 months,12.99,299.84,C,C2,3,OWN,50000.0,Source Verified,credit_card,29.86,0.0,0.0,10.0,0.0,17995.0,63.4,18.0,1,34
8975.0, 36 months,17.27,321.2,D,D2,2,RENT,90000.0,Source Verified,small_business,1.95,0.0,0.0,9.0,0.0,7003.0,42.4,9.0,1,34
24000.0, 36 months,7.49,746.44,A,A4,0,MORTGAGE,120000.0,Source Verified,credit_card,15.4,0.0,0.0,9.0,0.0,40474.875,81.7,24.0,0,26
10000.0, 36 months,12.99,336.9,C,C2,1,OWN,150000.0,Not Verified,major_purchase,5.36,4.0,0.0,7.0,0.0,2022.0,34.9,8.0,1,19
16000.0, 60 months,12.99,363.97,C,C2,10,MORTGAGE,130000.0,Verified,debt_consolidation,29.72,0.0,0.0,13.0,0.0,40474.875,99.2,29.0,1,33
4400.0, 36 months,12.85,147.94,B,B4,2,MORTGAGE,30000.0,Source Verified,car,31.28,1.0,0.0,10.0,0.0,4078.0,53.7,30.0,0,25
4000.0, 36 months,13.65,136.04,C,C1,7,MORTGAGE,96757.0,Not Verified,home_improvement,12.04,1.0,0.0,6.0,0.0,2039.0,44.3,9.0,0,24
21000.0, 36 months,11.53,692.8,B,B5,2,MORTGAGE,86000.0,Source Verified,debt_consolidation,14.25,0.0,0.0,9.0,1.0,13090.0,95.5,19.0,0,27
12000.0, 36 months,7.9,375.49,A,A4,10,RENT,65000.0,Not Verified,credit_card,16.19,0.0,0.0,10.0,0.0,16356.0,48.8,18.0,0,41
16000.0, 60 months,24.99,469.53,F,F4,10,RENT,45000.0,Source Verified,medical,22.29,2.0,0.0,9.0,0.0,9609.0,70.1,27.0,1,24
25000.0, 60 months,21.45,682.68,D,D5,10,MORTGAGE,75000.0,Verified,other,8.86,0.0,0.0,6.0,0.0,2468.0,58.8,10.0,1,15
5600.0, 36 months,6.89,172.64,A,A3,0,RENT,60404.0,Verified,debt_consolidation,21.87,1.0,0.0,15.0,0.0,2616.0,16.3,55.0,0,25
35000.0, 60 months,17.09,871.54,D,D1,0,RENT,156330.0,Verified,debt_consolidation,27.63,0.0,0.0,19.0,0.0,24797.0,56.0,32.0,1,18
15000.0, 36 months,9.17,478.19,B,B2,6,OWN,52500.0,Not Verified,debt_consolidation,22.42,0.0,0.0,19.0,0.0,12341.0,63.6,31.0,0,23
18000.0, 60 months,19.99,476.79,E,E4,10,MORTGAGE,102000.0,Source Verified,home_improvement,10.95,0.0,1.0,7.0,1.0,6091.0,35.2,12.0,1,50
12000.0, 36 months,15.59,419.46,D,D1,10,MORTGAGE,42000.0,Verified,debt_consolidation,23.63,0.0,1.0,7.0,0.0,8372.0,87.2,13.0,0,21
15000.0, 36 months,6.49,459.67,A,A2,0,RENT,105000.0,Not Verified,major_purchase,4.1,0.0,2.0,8.0,0.0,582.0,2.9,9.0,0,22
20000.0, 60 months,16.59,492.66,D,D1,10,MORTGAGE,76000.0,Verified,debt_consolidation,2.72,0.0,0.0,5.0,0.0,5540.0,67.6,8.0,0,25
10000.0, 36 months,5.32,301.15,A,A1,10,MORTGAGE,55000.0,Not Verified,debt_consolidation,13.66,0.0,1.0,15.0,0.0,15713.0,37.8,31.0,0,47
9000.0, 36 months,6.24,274.78,A,A2,10,MORTGAGE,65000.0,Verified,debt_consolidation,4.28,0.0,0.0,7.0,1.0,214.0,2.0,20.0,0,22
6000.0, 36 months,7.66,187.08,A,A5,3,RENT,77385.19,Not Verified,debt_consolidation,14.33,0.0,0.0,6.0,0.0,19528.0,82.1,22.0,0,29
11875.0, 36 months,12.74,398.64,C,C1,10,RENT,55000.0,Source Verified,debt_consolidation,16.1,0.0,1.0,6.0,0.0,3172.0,33.4,11.0,1,17
